#    L    TT             EE             TE             PP             TP          
   305   0.389592E+04   0.100704E+02   0.120758E+03   0.176621E+07   0.102122E+04
   306   0.386167E+04   0.102545E+02   0.120897E+03   0.175929E+07   0.101190E+04
   307   0.382742E+04   0.104393E+02   0.120991E+03   0.175241E+07   0.100263E+04
   308   0.379317E+04   0.106264E+02   0.121061E+03   0.174557E+07   0.993421E+03
   309   0.375900E+04   0.108127E+02   0.121079E+03   0.173877E+07   0.984277E+03
   310   0.372477E+04   0.109990E+02   0.121067E+03   0.173200E+07   0.975195E+03
   311   0.369061E+04   0.111876E+02   0.121008E+03   0.172528E+07   0.966174E+03
   312   0.365653E+04   0.113753E+02   0.120920E+03   0.171859E+07   0.957216E+03
   313   0.362245E+04   0.115639E+02   0.120785E+03   0.171194E+07   0.948321E+03
   314   0.358846E+04   0.117531E+02   0.120621E+03   0.170533E+07   0.939488E+03
   315   0.355454E+04   0.119416E+02   0.120411E+03   0.169875E+07   0.930717E+03
   316   0.352071E+04   0.121308E+02   0.120162E+03   0.169221E+07   0.922009E+03
   317   0.348695E+04   0.123193E+02   0.119876E+03   0.168571E+07   0.913364E+03
   318   0.345327E+04   0.125092E+02   0.119552E+03   0.167925E+07   0.904783E+03
   319   0.341975E+04   0.126984E+02   0.119190E+03   0.167282E+07   0.896264E+03
